Project	Modified	wA % Done	wA GL	wA Orig Lang Check Version	tW % Done	tW GL	tW Orig Lang Check Version	tN % Done	tN GL	tN GL Check Version	tN Orig Lang Check Version	Time Created	tC Edit Version	tC Format Version	Project warnings	Project Error		
ElsyLambert/en_ultn_jon_book	2022-09-08T17:30:38.064Z	100	en		88	en		54	en			2019-06-13T15:08:30.339Z	2.1.2	7	duplicate tw selections found, duplicate tn migrations found, unmatched tn checks found, 		
ElsyLambert/en_ultr_neh_book	2022-09-08T17:30:38.064Z	98	en	v2.1.12	0	en		0	en	v28	v2.1.12	2019-04-26T21:47:08.489Z	3.0.0	7			
ElsyLambert/en_ultt_3jn_book	2022-09-08T17:30:38.064Z	100	en		100	en		67	en			2019-08-01T15:14:39.307Z	3.0.0	7			
ElsyLambert/en_ust_gal_book		14	en	v0.22	0	en	v0.22	1	hi	v47.2_Door43-Catalog	v0.13	2021-07-20T19:41:34.711Z	3.2.0	7			
ElsyLambert/en_ust_tit_book	2022-09-08T17:30:38.064Z	100	en	v0.12	76	en	v0.12	30	en	v28	v0.12	2019-07-08T14:18:07.017Z	2.1.2	7			
ElsyLambert/en_ytty_rev_book	2022-09-08T17:30:38.064Z	100	en		0			0	en			2020-02-10T20:15:39.088Z	2.1.0	7			
ghayden/en_edit_1ti_book	2022-09-08T17:30:38.064Z	0	en		0	en	v0.21	1	en	v54	v0.22	2019-10-09T20:15:48.538Z	3.0.2	7			
ghayden/en_ghdn_jhn_book	2022-09-08T17:30:38.064Z	99	en		0			0	en	v48	v0.20	2021-06-28T17:31:18.504Z	3.0.1	7			
ghayden/en_luk_luk_book	2022-09-08T17:30:38.064Z	1	en		0			0	en	v54	v0.22	2021-11-30T01:17:46.750Z	3.0.1	7			
ghayden/en_luke_luk_book	2022-09-08T17:30:38.064Z	98	en		0			0				2021-11-23T22:04:28.779Z	3.0.2	7			
ghayden/en_test_luk_book	2022-09-08T17:30:38.064Z	100	en		0			0	en	v54	v0.22	2021-11-23T21:35:25.172Z	3.0.1	7			
ghayden/en_ttgh_1ti_book	2022-09-08T17:30:38.064Z	2	en		1	en	v0.13	0	en	v35	v0.15	2018-04-09T15:09:15.364Z	3.0.0	7			
ghayden/en_usl_luk_book	2022-09-08T17:30:38.064Z	98	en		0			0	en	v54	v0.22	2021-11-23T21:42:52.228Z	3.0.1	7			
ghayden/en_ust_luk_book	2022-09-08T17:30:38.064Z	99	en	v0.22	0			0	en	v54	v0.22	2021-09-29T13:49:14.822Z	3.0.2	7			
Grant_Ailie/en_ult_2sa_book	2022-09-08T17:30:38.064Z	100	en	v2.1.21	0	hi		0				2019-07-18T12:52:38.179Z	3.0.1	7			
Grant_Ailie/en_ult_est_book	2022-09-08T17:30:38.064Z	100	en	v2.1.19	0	en	v2.1.15	0	en	v47	v2.1.19	2021-05-26T15:13:57.501Z	3.0.1	7			
Grant_Ailie/en_ult_jer_book	2022-09-08T17:30:38.064Z	38	en		0	hi		0				2021-11-16T01:54:11.864Z	3.0.1	7			
Grant_Ailie/en_ult_neh_book	2022-09-08T17:30:38.064Z	100	en	v2.1.15	0			0	en	v33	v2.1.15	2020-11-24T22:33:01.267Z	3.0.1	7			
Grant_Ailie/en_ult_oba_book	2022-09-08T17:30:38.064Z	100	en	v2.1.15	0	en	v2.1.15	0	en	v33	v2.1.15	2020-11-11T18:28:07.556Z	3.0.1	7			
Grant_Ailie/en_ult_php_book		98	en	v0.22	0			0				2021-08-24T19:13:44.384Z	3.0.1	7			
Grant_Ailie/en_ust_ezr_book	2022-09-08T17:30:38.064Z	100	en	v2.1.15	0			0				2020-12-02T22:56:43.417Z	3.0.1	7			
Grant_Ailie/en_ust_mrk_book		98	en	v0.28	0			0				2022-04-13T13:15:46.281Z	3.2.0	7			
Grant_Ailie/en_ust_oba_book	2022-09-08T17:30:38.064Z	100	en	v2.1.15	0	en	v2.1.15	0	en	v33	v2.1.15	2020-11-19T15:54:36.204Z	3.0.1	7			
Grant_Ailie/en_ust_php_book		97	en	v0.22	0			0				2021-08-20T14:46:20.753Z	3.0.1	7			
JackMessarra/en_ult_amo_book	2022-09-08T17:30:38.064Z	100	en	v2.1.14	0	hi		0				2020-01-09T16:13:10.489Z	3.0.0	7			
JackMessarra/en_ult_deu_book	2022-09-08T17:30:38.064Z	8	en	v2.1.14	0			0				2019-10-17T15:13:14.836Z	3.0.0	7			
JackMessarra/en_ult_psa_book		22	en	v2.1.23	0	hi		0				2019-10-17T15:18:49.891Z	3.1.0	7			
JackMessarra/en_ust_amo_book	2022-09-08T17:30:38.064Z	100	en	v2.1.14	0	hi		0				2020-01-14T23:53:54.567Z	3.0.0	7			
jag3773/en_jult_1ch_book	2022-09-08T17:30:38.064Z	76	en		0			0				2019-10-17T14:46:46.397Z	2.1.0	7			
jag3773/en_ult_1ch_book	2022-09-08T17:30:38.064Z	2	en		0			0				2019-10-17T14:46:46.397Z	2.1.0	7			
jag3773/en_ult_zec_book	2022-09-08T17:30:38.064Z	38	en		0			0				2019-08-21T00:14:06.416Z	2.1.0	7			
jduguid/en_ult_isa_book	2022-09-08T17:30:38.064Z	2	en		0			0				2019-09-19T18:18:45.983Z	2.0.0	7			
jessewharris/en_ult_lam_book	2022-09-08T17:30:38.064Z	100	en	v2.1.14	0	hi		0				2020-08-26T17:44:21.342Z	3.0.0	7			
jessewharris/en_ult_pro_book	2022-09-08T17:30:38.064Z	99	en	v2.1.12	0			0				2019-08-14T20:40:40.717Z	2.1.2	7			
joel/en_algn_tit_book	2022-01-11T15:15:19.768Z	100			1			0				2018-05-10T13:43:12.594Z		7			
joel/en_bad_rut_book	2022-01-11T15:15:19.768Z	57			0			0				2019-02-22T21:59:03.025Z		7			
joel/en_oen_2ti_book	2022-01-11T15:15:19.768Z	99	en		0	en	v0.20	0	en	v32	v0.21	2018-05-08T20:27:21.076Z	3.0.1	7			
joel/en_reg_rut_book	2022-01-11T15:15:19.768Z	100	en	v2.1.12	0	en		0	en			2019-10-17T04:59:39.520Z	3.0.2-alpha	7			
joel/en_ult_mrk_book	2022-01-11T15:15:19.768Z	99	en		0	en		0	en			2019-06-13T15:13:32.782Z	2.1.0	7			
