Project	Modified	wA % Done	wA GL	wA Orig Lang Check Version	tW % Done	tW GL	tW Orig Lang Check Version	tN % Done	tN GL	tN GL Check Version	tN Orig Lang Check Version	Time Created	tC Edit Version	tC Format Version	Project warnings	Project Error	
sunilkasbe/mr_mgl_2pe_book		100	en	v0.14	100	en	v0.14	99	en	v58	v0.23	2022-03-25T10:33:09.968Z	3.0.1	7	unmatched tn checks found, 		
sunilkasbe/mr_mgl_2th_book		100	en	v0.29	100	en	v0.29	100	en	v65_Door43-Catalog	v0.29	2022-11-29T05:56:05.104Z	3.4.0	8			
sunilkasbe/mr_mgl_col_book		100	en	v0.14	99	en	v0.14	98	en	v58	v0.23	2022-04-19T09:54:35.104Z	3.0.1	7	duplicate tn migrations found, unmatched tn checks found, 		
sunilkasbe/mr_mgl_eph_book	2023-09-19T17:18:08.123Z	0	en	v0.14	100	en	v0.22	98	en	v53	v0.22	2021-11-01T07:43:06.339Z	3.0.1	7	unmatched tn checks found, 		
sunilkasbe/mr_mgl_jhn_book		100	en	v0.26	98	en	v0.26	86	en	v63_Door43-Catalog	v0.26	2022-07-19T06:57:20.278Z	3.2.0	7			
sunilkasbe/mr_mgl_jud_book		100	en	v0.14	100	en	v0.22	100	en	v58	v0.23	2022-03-31T14:20:43.099Z	3.0.1	7	unmatched tn checks found, 		
sunilkasbe/mr_mgl_phm_book		100	en	v0.14	100	en	v0.22	100	en	v58	v0.23	2022-03-31T13:42:34.224Z	3.0.1	7			
sunilkasbe/mr_mgl_php_book		100	en	v0.14	100	en	v0.23	97	en	v58	v0.23	2022-04-19T09:51:03.755Z	3.0.1	7	unmatched tn checks found, 		
sunilkasbe/mr_mglt_1jn_book	2023-09-19T17:18:08.123Z	100	en	v0.14	97	en	v0.22	91	en	v54	v0.22	2021-10-04T12:24:47.801Z	3.0.1	7	duplicate tn migrations found, unmatched tn checks found, 		
sunilkasbe/mr_mglt_1pe_book		100	en	v0.26	99	en	v0.29	97	en	v65_Door43-Catalog	v0.29	2022-09-08T09:16:22.149Z	3.2.0	7			
sunilkasbe/mr_mglt_1th_book		0	en	v0.24	0	en		3	en	v60	v0.24	2022-05-18T14:34:13.863Z	3.0.1	7			
sunilkasbe/mr_mglt_1ti_book	2023-09-19T17:18:08.123Z	100	en	v0.20	99	en	v0.20	92	en	v48	v0.20	2021-07-01T08:08:01.131Z	3.0.1	7	duplicate tn migrations found, unmatched tn checks found, 		
sunilkasbe/mr_mglt_2co_book		100	en	v0.29	100	en	v0.29	100	en	v65_Door43-Catalog	v0.29	2023-04-03T04:45:11.773Z	3.4.0	8			
sunilkasbe/mr_mglt_2jn_book	2023-09-19T17:18:08.123Z	100	en	v0.20	100	en	v0.20	89	en	v48	v0.20	2021-07-03T10:34:21.065Z	3.0.0	7			
sunilkasbe/mr_mglt_2pe_book		0	en		100	en	v0.14	99	en	v54	v0.22	2022-03-25T10:33:09.968Z	3.0.1	7	duplicate tn migrations found, unmatched tn checks found, 		
sunilkasbe/mr_mglt_2th_book		100	en	v0.29	100	en	v0.29	100	en	v65_Door43-Catalog	v0.29	2022-11-29T05:56:05.104Z	3.4.0	8			
sunilkasbe/mr_mglt_2ti_book	2023-09-19T17:18:08.123Z	99	en	v0.20	98	en	v0.20	86	en	v48	v0.20	2021-07-02T10:00:18.103Z	3.0.0	7			
sunilkasbe/mr_mglt_3jn_book	2023-09-19T17:18:08.123Z	100	en	v0.13	100	en	v0.13	89	en	v32	v0.13	2019-09-13T05:43:01.689Z	3.0.0	7	unmatched tn checks found, 		
sunilkasbe/mr_mglt_col_book		0	en		100	en	v0.22	100	en	v54	v0.22	2022-04-19T09:54:35.104Z	3.0.1	7	duplicate tn migrations found, unmatched tn checks found, 		
sunilkasbe/mr_mglt_eph_book																Could not download sunilkasbe/mr_mglt_eph_book: TypeError [ERR_INVALID_ARG_TYPE]: The "path" argument must be of type string. Received null	
sunilkasbe/mr_mglt_gal_book		0	en	v0.22	99	en	v0.23	100	en	v58	v0.23	2022-04-26T11:59:36.563Z	3.0.1	7	duplicate tn migrations found, unmatched tn checks found, 		
sunilkasbe/mr_mglt_jas_book		100	en	v0.22	100	en	v0.22	98	en	v54	v0.22	2021-10-06T14:29:35.466Z	3.0.1	7	unmatched tn checks found, 		
sunilkasbe/mr_mglt_jhn_book		0	en	v0.14	0	en		0	en	v60	v0.24	2022-07-19T06:57:20.278Z	3.0.1	7			
sunilkasbe/mr_mglt_jon_book	2023-09-19T17:18:08.123Z	100	en	v2.1.14	100	en	v2.1.14	95	en	v48	v2.1.21	2021-06-24T11:38:04.825Z	3.0.0	7			
sunilkasbe/mr_mglt_jud_book		0	en		100	en	v0.22	97	en	v54	v0.22	2022-03-31T14:20:43.099Z	3.0.1	7	duplicate tn migrations found, unmatched tn checks found, 		
sunilkasbe/mr_mglt_luk_book	2023-09-19T17:18:08.123Z	100	en	v0.22	99	en	v0.22	99	en	v54	v0.22	2021-11-03T14:27:49.612Z	3.0.1	7			
sunilkasbe/mr_mglt_mrk_book		1	en	v0.29	0	en		0	en	v65_Door43-Catalog	v0.29	2023-02-13T03:12:18.989Z	3.4.0	8			
sunilkasbe/mr_mglt_phm_book		0	en		100	en	v0.22	100	en	v54	v0.22	2022-03-31T13:42:34.224Z	3.0.1	7	unmatched tn checks found, 		
sunilkasbe/mr_mglt_php_book		0	en	v0.22	100	en	v0.14	98	en	v54	v0.22	2022-04-19T09:51:03.755Z	3.0.1	7	duplicate tn migrations found, unmatched tn checks found, 		
sunilkasbe/mr_mglt_rut_book	2023-09-19T17:18:08.123Z	100	en	v2.1.14	100	en	v2.1.21	96	en	v53	v2.1.23	2021-06-21T11:45:02.251Z	3.0.1	7	unmatched tn checks found, 		
sunilkasbe/mr_mglt_tit_book	2023-09-19T17:18:08.123Z	100	en	v0.13	100	en	v0.13	100	en	v32	v0.13	2020-10-13T05:49:50.076Z	3.0.0	7	unmatched tn checks found, 		
sunilkasbe/mr_mgs_1jn_book		1	en	v0.14	60	en	v0.22	67	en	v53	v0.22	2021-11-11T05:57:43.488Z	3.0.1	7	duplicate tn selections found, duplicate tn migrations found, unmatched tn checks found, 		
sunilkasbe/mr_mgs_1pe_book		100	en	v0.26	99	en	v0.29	98	en	v65_Door43-Catalog	v0.29	2022-08-08T04:16:39.856Z	3.2.0	7			
sunilkasbe/mr_mgs_1th_book		100	en	v0.14	93	en	v0.14	94	en	v60	v0.24	2022-05-12T05:50:05.592Z	3.0.1	7	duplicate tn migrations found, unmatched tn checks found, 		
sunilkasbe/mr_mgs_col_book		100	en	v0.14	100	en	v0.24	96	en	v60	v0.24	2022-05-07T18:35:04.989Z	3.0.1	7	unmatched tn checks found, 		
sunilkasbe/mr_mgs_jhn_book		100	en	v0.26	99	en	v0.24	98	en	v60_Door43-Catalog	v0.24	2022-07-20T08:17:49.936Z	3.2.0	7	unmatched tn checks found, 		
sunilkasbe/mr_mgsg_1jn_book		1	en	v0.14	98	en	v0.14	88	en	v57	v0.22	2021-11-11T05:57:43.488Z	3.0.1	7	duplicate tn migrations found, unmatched tn checks found, 		
sunilkasbe/mr_mgsg_luk_book		99	en	v0.14	99	en	v0.22	96	en	v54	v0.22	2021-11-03T14:27:49.612Z	3.0.1	7	unmatched tn checks found, 		
sunilkasbe/mr_mgst_1co_book		100	en	v0.29	99	en	v0.29	99	en	v65_Door43-Catalog	v0.29	2022-11-02T05:50:12.437Z	3.4.0	8			
sunilkasbe/mr_mgst_1jn_book	2023-09-19T17:18:08.123Z	99	en	v0.22	98	en	v0.22	94	en	v53	v0.22	2021-11-11T05:57:43.488Z	3.0.1	7	unmatched tn checks found, 		
sunilkasbe/mr_mgst_1th_book		99	en	v0.14	93	en	v0.14	94	en	v60	v0.24	2022-05-12T05:50:05.592Z	3.0.1	7	duplicate tn migrations found, unmatched tn checks found, 		
