Project	Modified	wA % Done	wA GL	wA Orig Lang Check Version	tW % Done	tW GL	tW Orig Lang Check Version	tN % Done	tN GL	tN GL Check Version	tN Orig Lang Check Version	Time Created	tC Edit Version	tC Format Version	Project warnings	Project Error	
Amos.Khokhar/gu_gglt_1jn_book																Empty Repo: Amos.Khokhar/gu_gglt_1jn_book: Error: UNABLE_TO_DOWNLOAD_RESOURCES for https://git.door43.org/Amos.Khokhar/gu_gglt_1jn_book/archive/master.zip: Download did not succeed, code 404	
NimitPatel/gu_ggst_2ti_book																Empty Repo: NimitPatel/gu_ggst_2ti_book: Error: UNABLE_TO_DOWNLOAD_RESOURCES for https://git.door43.org/NimitPatel/gu_ggst_2ti_book/archive/master.zip: Download did not succeed, code 404	
NimitPatel/gu_ggst_col_book																Empty Repo: NimitPatel/gu_ggst_col_book: Error: UNABLE_TO_DOWNLOAD_RESOURCES for https://git.door43.org/NimitPatel/gu_ggst_col_book/archive/master.zip: Download did not succeed, code 404	
NimitPatel/gu_ggst_jud_book																Empty Repo: NimitPatel/gu_ggst_jud_book: Error: UNABLE_TO_DOWNLOAD_RESOURCES for https://git.door43.org/NimitPatel/gu_ggst_jud_book/archive/master.zip: Download did not succeed, code 404	
NimitPatel/gu_ggst_mrk_book		100	en	v0.30	99	en	v0.30	98	en	v66_Door43-Catalog	v0.30	2023-03-22T08:38:16.339Z	3.4.0	8			
NimitPatel/gu_ggst_phm_book																Empty Repo: NimitPatel/gu_ggst_phm_book: Error: UNABLE_TO_DOWNLOAD_RESOURCES for https://git.door43.org/NimitPatel/gu_ggst_phm_book/archive/master.zip: Download did not succeed, code 404	
NimitPatel/gu_ggst_php_book																Empty Repo: NimitPatel/gu_ggst_php_book: Error: UNABLE_TO_DOWNLOAD_RESOURCES for https://git.door43.org/NimitPatel/gu_ggst_php_book/archive/master.zip: Download did not succeed, code 404	
NimitPatel/gu_gst_jhn_book		100	en	v0.29	99	en	v0.29	99	en	v60_Door43-Catalog	v0.24	2022-08-02T06:11:58.542Z	3.2.0	7	unmatched tn checks found, 		
photonomad0/gu_mat_text_reg		0			0			0									
photonomad0/gu_mrk_text_reg		0			0			0									
photonomad0/gu_reg_mrk_book		0			0			0									
qa91/gu_mat_text_reg		0			0			0									
qa98/gu_mat_text_reg		0			0			0									
qa99/gu_1th_text_reg		0			0			0									
RixonReji0401/gu_gglt_1th_book		99	en	v0.24	99	en	v0.24	100	en	v60_Door43-Catalog	v0.24	2022-07-21T09:42:30.277Z	3.2.0	7	unmatched tn checks found, 		
RixonReji0401/gu_gglt_2pe_book		100	en	v0.24	100	en	v0.24	100	en	v60_Door43-Catalog	v0.24	2022-07-21T10:06:46.921Z	3.2.0	7			
RixonReji0401/gu_gglt_col_book		99	en	v0.24	100	en	v0.24	99	en	v60_Door43-Catalog	v0.24	2022-07-21T09:38:24.395Z	3.2.0	7			
RixonReji0401/gu_gglt_jud_book		100	en	v0.22	100	en	v0.22	100	en	v60_Door43-Catalog	v0.24	2022-07-21T10:10:02.322Z	3.2.0	7			
